prediction	target	average probability	entropy	dist
결 정 지 어	결 정 지 어	0.2487754225730896	0.3578134775161743	0
걱 정 스 러 울	걱 정 스 러 울	0.14889246344566345	0.5062502026557922	0
근 절 하 겠 습 니 다	근 면 하 겠 습 니 다	0.04032667790140424	0.669033944606781	1
달 궈	달 <UNK> 하 실	0.09496025443077087	1.1123428344726562	9
진 정 하 시 는	진 정 하 시 는	0.195983247756958	0.35907891392707825	0
예 상 되 는 데	예 상 되 지 만	0.12013615533709526	0.5048084259033203	2
공 부 하 더 니	공 부 하 는 데	0.18846713066101073	0.3861781060695648	2
비 슷 하 려 고	비 <UNK> 하 려 고	0.07525584936141967	0.7200846076011658	5
떠 두 시 오	<UNK> 둡 시 오	0.03360562324523926	1.1978751420974731	6
잊 힙 셔	잊 히 셔	0.1757325530052185	0.8604724407196045	1
열 리 겠 습 니 다	열 리 겠 습 니 다	0.1252502699693044	0.4428442716598511	0
탄 원 하 셨 습 니 다	탄 원 하 셨 습 니 다	0.14149807010378157	0.2885470986366272	0
부 추 더 니	부 추 기 지 만	0.07998917102813721	0.9272501468658447	4
확 신 하 시 기	확 인 하 시 기	0.05338387370109558	0.8475006818771362	1
겉 핥 으 셨 습 니 다	핥 으 셨 습 니 다	0.14140973431723458	0.29214635491371155	2
도 주 시 겠 다	도 와 주 시 겠 다	0.1783074116706848	0.4199647307395935	2
부 르 지 만	부 르 <UNK> 지 만	0.07292484343051911	0.8157660365104675	6
설 명 하 시 기	설 명 하 시 기	0.16892770886421205	0.44597214460372925	0
만 질	만 졌 어	0.21720927059650422	0.848925769329071	3
지 랄 하 셨 어	지 랄 하 셨 어	0.19634028911590576	0.34816300868988037	0
복 습 하 겠 습 니 다	복 습 하 겠 습 니 다	0.12711679935455322	0.357371062040329	0
보 관 하 려 고	보 관 하 려 고	0.1979603052139282	0.33938151597976685	0
꺾 어 지 시 려 고	꺾 어 지 시 려 고	0.1661781330903371	0.3041000962257385	0
눌 해 야	<UNK> <UNK> 야	0.03972692092259725	1.1772013902664185	10
추 진 하 시 기	추 진 하 심	0.1392353916168213	0.5395766496658325	3
접 수 하 시 라	접 수 하 시 라	0.1992729377746582	0.328787624835968	0
관 하 세 요	관 <UNK> 하 세 요 - g w a n g h a s e y o	0.11702567338943481	0.7811173796653748	30
황 당 하 더 니	당 황 한 데	0.06773992776870727	0.741809070110321	5
공 지 하 더 니	공 지 하 지 만	0.19427689790725708	0.3561268746852875	2
다 칩 니 다	다 <UNK> 었 습 니 다	0.027079060673713684	0.9492343664169312	9
숙 제 했 음	숙 제 하 였 음	0.08499863632023334	0.7335774302482605	3
두 드 셔	두 려 우 셔	0.10649048586686452	1.173285722732544	3
어 없 어 요	없 어 지 어 요	0.058557342551648614	0.8925482034683228	3
아 쉽 다	아 쉽 다	0.18237476348876952	0.9743909239768982	0
맞 이 하 면	맞 이 하 면	0.2152918756008148	0.46007227897644043	0
없 시 겠 다	없 으 시 겠 다	0.1258011508733034	0.7262064814567566	2
체 스 럽 고	<UNK> <UNK> 스 럽 고	0.030449232459068297	1.1798629760742188	11
경 청 합 시 오	경 청 합 시 오	0.182140212059021	0.41970691084861755	0
말 살 하 시 려 고	말 살 하 시 려 고	0.16529688239097595	0.3105490505695343	0
건 축 하 세 요	건 축 하 세 요	0.19937792301177978	0.3279087245464325	0
쪼 개 할	쪼 <UNK>	0.10219513376553853	1.0147758722305298	5
뿌 리 셨 느 냐	뿌 렸 느 냐	0.1487117862701416	0.5329890847206116	3
편 세 요	편 찮 으 세 요	0.05875396927197774	1.067362666130066	4
갈 라 지 고	갈 라 지 고	0.24603042304515838	0.3712348937988281	0
습 니 다	<UNK> <UNK> 하 셨 습 니 다	0.026228837172190347	0.7732254862785339	16
락 락 하 려 고	하 락 하 려 고	0.10802696645259857	0.7014280557632446	1
행 사 했 다	행 사 했 다	0.24913117289543152	0.3540107011795044	0
능 하 였 기	능 했 음	0.17918205559253692	0.606308102607727	4
복 수 하 고	복 수 하 고	0.24775011837482452	0.3628034293651581	0
거 쳐	거 치 었 기	0.42786657214164736	0.5839414596557617	5
남 기 어 요	남 겨 요	0.19846118669956922	0.5659235715866089	3
아 쉽 어 요	아 쉬 워 요	0.08532375674694777	0.9670682549476624	2
귀 엣 합 니 까	귀 합 니 까	0.16404513120651246	0.4814237952232361	2
다 가 가 면	다 가 가 야	0.12052453458309173	0.7973662614822388	1
가 다 붙 습 니 다	가 다 붙 습 니 다	0.05349094520012538	0.7291609048843384	0
두 절 해 야	두 절 돼 야	0.16350111411884427	0.6155086159706116	1
견 성 했 음	견 성 했 음	0.21011607348918915	0.4979369044303894	0
간 추 렸 다	간 추 린 다	0.19564855098724365	0.5516713857650757	1
잘 랐 음	자 랑 하 였 음	0.07855526208877564	1.0009782314300537	6
싸	싸 우 시 는	0.44875974394381046	0.9275663495063782	6
중 거 렸 음	중 <UNK> 거 렸 음	0.0735677145421505	0.9336967468261719	6
관 리 하 느 냐	관 리 하 느 냐	0.1993642830848694	0.3279843032360077	0
살 아 셔	살 아 남 으 셔	0.1965535342693329	0.7997811436653137	4
얌 전 하 겠 어 요	얌 전 하 겠 어 요	0.16534626881281536	0.3120552897453308	0
흡 당 어	<UNK> 당 겨	0.04049178759256999	1.5490734577178955	6
제 조 하 시 는	제 조 하 시 는	0.08925639152526856	0.7107697129249573	0
허 하 는 데	허 <UNK> 하 더 니	0.12777503672987223	0.6429451107978821	8
깨 뜨 리 려 고	깨 뜨 리 려 고	0.17848289489746094	0.4460985064506531	0
찌 뿌 둥 하 면	찌 <UNK> 하 면	0.06092793226242065	0.9401875734329224	5
결 해 하 시 느 냐	해 결 하 시 느 냐	0.16566350062688193	0.306919664144516	2
썩 음 썩 음	썩 으 시 기	0.05170043646357954	0.8541169166564941	3
물 려 받 셨 습 니 다	물 려 받 으 셨 습 니 다	0.06056777930685452	0.4232901930809021	2
날 가 야	날 아 가 면	0.07989894648392995	0.9536408185958862	3
알 려 요	알 아 <UNK> 요	0.14919795195261637	0.7034134864807129	7
묶 습 니 다	묶 습 니 다	0.14600861668586732	0.697454035282135	0
잘 랐 습 니 까	잘 못 했 습 니 까	0.08190409302711486	0.6067487597465515	3
개 가 했 어	개 가 했 어	0.2387724280357361	0.41457927227020264	0
나	나 무 라	0.5661579936742782	0.8370053172111511	4
외 식 하 시 라	외 식 하 시 라	0.19919394493103026	0.32936322689056396	0
쏘 아 보 시 려 고	쏘 아 보 시 려 고	0.16415159503618876	0.3157203197479248	0
연 락 하 겠 습 니 다	연 락 하 겠 습 니 다	0.08966923952102661	0.4567699432373047	0
뜻 한 데	<UNK> 하 더 니	0.034944784641265866	1.0498638153076172	9
날 하 셨 어	날 조 하 셨 어	0.11758870473131537	0.5923911333084106	2
평 범 하 시 겠 다	평 범 하 시 겠 다	0.14807326197624207	0.39707425236701965	0
반 영 했 어 요	반 영 했 어 요	0.1571923339366913	0.4669453501701355	0
감 싸	<UNK> 싸 겠 어	0.06872528791427612	1.4436277151107788	9
고 정 돼	고 정 돼	0.313949461778005	0.454028844833374	0
잘 랐 어 요	잘 못 했 어 요	0.09097462221980095	0.747890055179596	3
설 치 었 기	설 치 됐 기	0.23658446371555328	0.41573619842529297	1
달 매 셨 어	매 다 셨 어	0.11797061432152986	0.8929165601730347	2
과 사 하 겠 어	사 과 하 겠 어	0.1987995219230652	0.3339880704879761	2
건 축 한	건 축 한	0.3079478700955709	0.4856317937374115	0
겹 역 셔	역 겨 우 셔	0.0875150794784228	0.9953287243843079	4
간 섭 하 셨 습 니 다	간 섭 하 셨 습 니 다	0.1415170907974243	0.2891978919506073	0
쌓 시 겠 다	쌓 으 시 겠 다	0.2479237824678421	0.36376768350601196	2
교 육 했 어	교 육 했 어	0.2390221804380417	0.4114510416984558	0
대 접 하 겠 다	대 접 하 겠 다	0.19688661575317382	0.34637096524238586	0
와	오 시 겠 다	0.4207840306684375	0.9281027317047119	7
싶 어 요	<UNK> 아 요	0.032770588000615435	1.3092693090438843	6
지 명 한	지 명 한	0.23866273959477743	0.7134101390838623	0
처 신 했 습 니 다	처 신 했 습 니 다	0.08252254724502564	0.4859253466129303	0
다 루 어	다 루 어	0.18887913525104522	0.8943564891815186	0
쏘 아 요	<UNK> 요	0.32367645104726156	0.4225531816482544	5
엮 으 겠 다	엮 겠 다	0.2088196575641632	0.5095230937004089	2
지 킨	<UNK> 지 시 는	0.0540800005197525	1.4595441818237305	9
꼬 는 데	<UNK> 은 하 더 니	0.04626322587331136	1.197546124458313	11
추 잡 하 겠 습 니 다	추 잡 하 겠 습 니 다	0.13996656451906478	0.29689404368400574	0
발 기 시 려 고	발 기 시 려 고	0.15635381698608397	0.4810941219329834	0
위 험 할	위 할	0.1296765039364497	1.1337971687316895	2
뒤 따 랐 습 니 다	뒤 따 르 겠 습 니 다	0.16002297004063923	0.33156687021255493	3
달 라 지 어 요	달 라 져 요	0.1886359453201294	0.3877604007720947	3
애 지 했 음	애 <UNK> 하 였 음	0.04164790362119675	1.0161083936691284	8
나 서 었 어	나 서 었 어 - e o s s e o	0.19988753776997328	0.663101315498352	14
그 르 면	그 르 쳐 야	0.11690791050593058	0.9277222752571106	3
기 억 했 느 냐	기 억 했 느 냐	0.19641829252243043	0.3491571545600891	0
강 조 했 음	강 조 했 기	0.08486813930794597	0.7490325570106506	1
고 약 하 셨 어	고 약 하 셨 어	0.19944095373153686	0.327332466840744	0
떠 돌 겠 어	떠 돌 겠 어	0.11082811914384365	0.7124435901641846	0
자 잘 해 요	자 잘 해 요	0.22241065502166749	0.45216602087020874	0
상 시 기	<UNK> 셨 기	0.03959865570068359	1.2932425737380981	6
바 꾸 면	바 꾸 어 야	0.23063445190588633	0.6904861330986023	3
흡 격 하 세 요	<UNK> 격 하 셔 요	0.018805686235427856	0.9485630393028259	6
노 화 하 셨 느 냐	노 화 하 셨 느 냐	0.15820069710413615	0.3463355302810669	0
식 하 는 데	인 식 하 더 니	0.030688917636871337	0.9329255223274231	4
업 여 했 습 니 까	업 신 여 겼 습 니 까	0.03761419306198756	0.6736613512039185	3
질 식 시 고	질 식 시 키 고	0.091665019094944	0.6752877235412598	2
편 한	편 안 한	0.32874561548233033	0.7165977358818054	2
떠 셔	<UNK> 으 셔	0.04399159550666809	1.682055115699768	7
빼 빼 하 세 요	빼 빼 하 세 요	0.1657023811340332	0.459113746881485	0
설 더 니	설 <UNK> 이 어 야	0.08959363028407097	0.9485254287719727	10
싶 어 야	<UNK> 져 야	0.025685969988505045	1.1286853551864624	6
낮 잡 는 데	낮 잡 더 니	0.21150478422641755	0.47427916526794434	2
갈 아 타 요	갈 고 <UNK> 아 요	0.05741588249802589	0.956987738609314	8
참 으 했 기	참 조 했 기	0.04389210566878319	1.029927134513855	1
대 답 하 려 고	대 답 하 려 고	0.19888333797454835	0.331863671541214	0
응 징 러 워	징 그 러 워	0.08963252631947398	1.1502645015716553	2
선 택 하 겠 다	선 언 하 겠 다	0.12638241767883301	0.5451335906982422	1
번 지 겠 다	<UNK> 쳐 지 겠 다	0.026360145211219786	1.076575756072998	7
았 어	<UNK> 어 버 리 느 냐	0.036670106649398806	1.075933814048767	13
결 해 됐 음	해 결 되 었 기	0.10386511930264533	0.7063134908676147	5
가 늘 었 어 요	가 꾸 었 어 요	0.08622659593820572	0.754676342010498	1
대 두 한 다	대 두 한 다	0.22392892837524414	0.4536866545677185	0
듯 하 겠 습 니 다	듯 하 겠 습 니 다	0.06759738869344195	0.476606547832489	0
들 어 서 어 요	들 어 서 어 요 - e o y o	0.17979289293289186	0.4297715127468109	10
떠 나 셨 어	<UNK> 어 나 셨 어	0.03911682367324829	1.0998986959457397	7
경 험 하 시 다	경 <UNK> 하 시 다	0.07172340631484986	0.6646988987922668	5
공 허 하 였 기	공 허 하 였 음	0.1069922387599945	0.4979342520236969	1
듯 했 기	듯 했 기	0.17418238098422686	0.7739489078521729	0
심 란 하 실	심 란 하 실	0.10327233970165253	0.886931300163269	0
기 민 하 실	기 민 하 실	0.1362035890109837	0.6716132164001465	0
무 관 심 하 겠 어	무 관 심 하 겠 어	0.1331195374329885	0.4446757435798645	0
갖 추 었 습 니 까	<UNK> 추 었 습 니 까	0.019499346117178597	0.8302645683288574	5
기 합 하 더 니	기 록 하 는 데	0.040813961625099184	0.8408632874488831	3
본	<UNK> 었 기	0.07163639664649964	1.5275442600250244	9
의 지 하 셨 어	의 지 하 셨 어	0.14492536397650838	0.5267055034637451	0
밀 접 하 시 다	밀 접 하 시 다	0.1188235567882657	0.4661959409713745	0
내 심	내 다 보 심	0.32415556609630586	0.7167961597442627	4
해 당 하 려 고	해 당 하 려 고	0.19896308183670045	0.3305472135543823	0
익 히 시 겠 다	익 히 시 겠 다	0.19913385629653932	0.33090275526046753	0
도 륙 됐 어 요	도 륙 됐 어 요	0.1017422240972519	0.5724563002586365	0
거 리 시 는	시 시 <UNK> 거 리 시 는	0.07228576838970184	0.8578251004219055	10
가 와	가 져 와	0.11729259192943572	1.1676408052444458	2
챙 피 시 오	챙 <UNK> 시 오	0.09045993722975254	0.8154419660568237	5
습 니 다	<UNK> <UNK> 워 요	0.0312564472357432	1.167332410812378	13
불 치 면	불 치 어 야	0.14785502006610235	0.6851603388786316	3
끼 웠 다	끼 쳤 다	0.2831304391225179	0.5817117691040039	1
기 대 돼	기 대 돼	0.12913115024566652	0.7372739911079407	0
좋 아 했 어	좋 아 했 어	0.2457083135843277	0.37409868836402893	0
노 동 계 급 화 하 고	노 동 계 급 화 하 고	0.14175969021660942	0.29008516669273376	0
달 라 지 었 음	달 라 지 었 음	0.19325512647628784	0.3645263910293579	0
빠 가 겠 어	빠 져 나 가 겠 어	0.07599092051386833	0.8249649405479431	4
기 약 하 시 느 냐	기 약 하 시 느 냐	0.16479068597157795	0.3133983910083771	0
바 르 고	<UNK> 바 르 고	0.18575811982154847	0.8932934999465942	6
학 생 다 워	학 생 다 우 셔	0.09342415705323219	0.7770006656646729	3
로 동 계 급 화 하 셨 어	로 동 계 급 화 하 셨 어	0.04957682471722365	0.6595408320426941	0
진 전 하 겠 습 니 다	전 진 하 겠 습 니 다	0.10892181119748524	0.42161813378334045	2
돌 아 오 셨 습 니 까	돌 아 왔 습 니 까	0.08554360057626452	0.4732515215873718	3
쏟	쏟 을	0.5247937560081481	1.0384955406188965	2
본	실 어 야	0.06115901470184326	1.420681357383728	5
얕 잡 으 면	얕 잡 으 면	0.1429148495197296	0.6508143544197083	0
붙 잡 겠 어	붙 잡 겠 어	0.1431331679224968	0.6042360067367554	0
감 수 하 겠 습 니 다	<UNK> 수 하 겠 습 니 다	0.014382624626159668	0.723169207572937	5
당 합 니 다	당 합 니 다	0.204731385409832	0.5262592434883118	0
갈 아 지 만	갈 아 신 더 니	0.10404960364103318	0.8137375116348267	4
담 가 셨 느 냐	담 그 셨 느 냐	0.18745364427566527	0.38953909277915955	1
비 볐 습 니 까	비 싸 셨 습 니 까	0.05509590208530426	0.682814359664917	3
사 랑 하 셨 어	사 랑 하 셨 어	0.11209049224853515	0.5820882320404053	0
발 상 하 셔	발 상 하 셔	0.24481094181537627	0.3871537744998932	0
게 우 세 요	게 우 세 요 - u s e y o	0.2240203320980072	0.46330761909484863	12
못 되 었 냐	못 됐 냐	0.11514740213751792	0.7591695189476013	3
증 가 하 시 는	증 가 하 시 는	0.1983186936378479	0.339667946100235	0
싶 었 어	<UNK> <UNK> 어	0.043029038111368816	1.3679239749908447	10
조 사 하 시 기	조 사 하 시 기	0.17950476884841918	0.4129641354084015	0
진 전 하 시 기	전 진 하 심	0.16176651954650878	0.4926917850971222	5
노 르 시 겠 다	노 르 시 겠 다	0.19806894540786743	0.34101757407188416	0
본	길 었 음	0.07163639664649964	1.5275442600250244	5
계 획 다	계 획 된 다	0.11965245803197225	0.9252362847328186	2
불 러 우 셔	불 러 일 으 키 셔	0.11096593886613845	0.840397298336029	5
와	쳐 다 봅 니 다	0.07390684485435486	1.1818019151687622	9
과 장 하 면	과 장 해 야	0.2103144645690918	0.46088147163391113	2
잘 되 셔	잘 되 셔	0.2114613155523936	0.7322481274604797	0
등 송 하 세 요	등 송 하 세 요	0.19818758964538574	0.3359996974468231	0
빼 은	빼 <UNK> 은	0.08687296211719513	1.6557952165603638	6
공 사 하 시 라	공 사 하 시 라	0.1994939160346985	0.32649269700050354	0
꼬 는 데	<UNK> <UNK> 질 하 는 데	0.025094854831695556	0.9684266448020935	15
비 어 지 만	비 뚤 어 지 지 만	0.10155922546982765	0.614105761051178	4
는 데	<UNK> 키 시 려 고	0.055877280235290525	1.081936001777649	12
게 재 했 기	게 재 했 기	0.11480609821155667	0.6216293573379517	0
좆 울	좆 <UNK>	0.08813261091709138	1.3699535131454468	5
통 지 해	통 지 해	0.12234735041856766	0.8547217845916748	0
정 정 합 니 까	다 정 합 니 까	0.08792069271206855	0.5815550684928894	1
배 신 하 다	배 신 한 다	0.17481251507997514	0.5391247868537903	1
빌 린 어	빌 렸 어	0.22044818500677746	0.8231891393661499	1
외 설 했 어 요	외 설 했 어 요	0.1685267162322998	0.4405156373977661	0
꼬 는 데	<UNK> 는 데	0.05779687960942586	1.2417601346969604	5
분 주 했 냐	분 주 했 냐	0.23690325617790223	0.41867294907569885	0
날 라	<UNK> 지 르 셨 어	0.022604995311121458	1.1618385314941406	12
의 심 쩍 었 습 니 다	의 심 쩍 습 니 다	0.11361489636557442	0.41214698553085327	2
흡 연 하 셨 어	<UNK> <UNK> 하 셨 어	0.018880265951156616	0.9581852555274963	10
꼬 는 데	<UNK> 지 만	0.05779687960942586	1.2417601346969604	7
끼 치 시 라	끼 치 시 라	0.1254659563302994	0.7971557974815369	0
달 궈 시 느 냐	달 구 시 느 냐	0.12245107650756835	0.5137172937393188	1
무 르 셔	무 찌 르 셔	0.31139270464579266	0.48012813925743103	2
고 충 해 요	충 고 해 요	0.10668138861656189	0.881176769733429	2
후 근 해 야	후 줄 근 하 여 야	0.20177845507860184	0.5252940058708191	5
사 용 하 시 려 고	사 용 하 시 려 고	0.16563113729159037	0.3073396682739258	0
개 시 하 심	개 시 하 시 기	0.22931017279624938	0.4126187562942505	3
도 시 하 셔	시 도 하 셔	0.1896573156118393	0.5611874461174011	2
벗 시 겠 다	벗 으 시 겠 다	0.16568276211619376	0.5978013873100281	2
얽 매 는 데	얽 매 이 더 니	0.15897644460201263	0.6345932483673096	4
함 하 였 음	함 <UNK> 했 음	0.03729430558159948	1.0449001789093018	6
고 명 했 어	고 명 했 어	0.24326590597629547	0.3925974667072296	0
떠 와	떠 오 르 겠 어	0.061841266602277754	1.028749942779541	7
좋 아 보 시 느 냐	<UNK> 아 보 시 느 냐	0.023564765850702923	0.7923669815063477	5
개 같 아 야	개 같 아 야	0.15013377219438553	0.8001307845115662	0
뿌 둥 세 요	둥 그 셔 요	0.035681316256523134	1.0676087141036987	3
터 지 어 야	미 어 터 지 면	0.14440958872437476	0.5877505540847778	6
제 한 하 시 오	제 한 합 시 오	0.13345928594470025	0.530316948890686	1
초 기 하 세 요	기 초 하 세 요	0.13927012488245963	0.5279346108436584	2
제 한	제 조 한	0.21542692184448242	1.0224262475967407	2
드 러 내 어 요	드 러 내 어 요	0.14086068868637086	0.6056732535362244	0
새 파 랗	새 파 랗 은	0.24909746845563252	0.6958016157150269	2
감 기 시 기	감 기 심	0.20073530077934265	0.5513103008270264	3
논 의 하 는 데	논 의 하 는 데	0.14855919361114503	0.4992215931415558	0
서 툴 셨 습 니 까	서 투 셨 습 니 까	0.16554458538691202	0.30968382954597473	1
미 울	꾸 민	0.1219723641872406	1.6747245788574219	2
선 호 하 겠 습 니 다	선 호 하 겠 습 니 다	0.13201401233673096	0.33494091033935547	0
넘 트 리 셨 느 냐	넘 실 트 리 셨 느 냐	0.1181748037536939	0.4652377665042877	2
부 절 하 실	부 적 절 하 실	0.15300148613750936	0.7053160667419434	2
논 쟁 하 는 데	논 하 는 데	0.15493034362792968	0.5141578316688538	2
공 갈 했 기	공 갈 하 였 음	0.10335426959209144	0.5624752044677734	4
들 어	들 어 올 렸 어	0.30017618238925936	0.7938851118087769	6
납 작 하 겠 습 니 다	납 작 하 겠 습 니 다	0.1402698312486921	0.2952756881713867	0
선 고 했 다	선 고 했 다	0.24928063452243804	0.3527313768863678	0
들 어 기 셨 느 냐	들 어 <UNK> 기 셨 느 냐	0.03777861669659614	0.747687041759491	6
안 전 합 니 까	안 <UNK> 합 니 까	0.07640145778656006	0.8065891265869141	5
감 당 하 는 데	감 당 하 는 데	0.10013386130332946	0.604594886302948	0
뜻 하 심	<UNK> 기 하 심	0.020257075627644856	1.0503569841384888	7
간 추 렸 음	간 추 리 었 음	0.1979674369096756	0.4839986264705658	3
살 보 겠 습 니 다	살 <UNK> 보 겠 습 니 다	0.05832172061006228	0.6650606989860535	6
주 지 셨 어	주 어 지 셨 어	0.18722399771213533	0.5223201513290405	2
단 절 하 시 기	절 단 하 심	0.11313341239467263	0.5963751673698425	5
젓 가 락 질 했 다	젓 가 락 질 했 다	0.1547134538491567	0.36693111062049866	0
무 아 야	아 무 러 면	0.10816117525100707	0.874549388885498	4
처 방 한	처 방 한	0.17291571820775667	0.8091251254081726	0
잡 수 할	잡 <UNK>	0.2856605927149455	0.5782058835029602	5
표 기 하 셨 습 니 다	표 기 하 셨 습 니 다	0.1423001834324428	0.2835563123226166	0
우 시 느 냐	<UNK> 우 시 느 냐	0.021318749338388444	1.0002691745758057	6
다 루 었 기	치 루 었 음	0.11376251429319381	0.7248235940933228	2
전 했 느 냐	전 환 했 느 냐	0.2468307852745056	0.37042418122291565	2
무 관 심 했 음	무 관 심 했 음	0.19802615880966187	0.3371240496635437	0
누 습 니 다	<UNK> 니 다	0.24818396270275117	0.36142587661743164	5
잘 생 길	잘 생 기 지 만	0.2885178208351135	0.5444979667663574	5
버 리 고	버 리 고	0.17333268324534098	0.836283266544342	0
갈 라 세 요	갈 <UNK> 세 요	0.09703227840363979	0.8488280177116394	5
불 하 세 요	불 길 하 셔 요	0.09308887869119645	0.7068780660629272	3
깨 어	깨	0.4937374234199524	0.38869529962539673	2
행 사 했 어 요	행 사 했 어 요	0.19725434303283693	0.3423103094100952	0
다 루 어 요	다 루 어 요	0.22062399089336396	0.5051239728927612	0
갑 작 스 럽 겠 어	갑 작 스 럽 겠 어	0.16071340640385945	0.33522695302963257	0
스 며	스 며 드 셔	0.1328878864645958	1.0560827255249023	4
나	<UNK> 어	0.04638626277446747	1.9274502992630005	7
